Product Name,Description,Faceveneer,Thickness (mm),Core Material,Glue,Weight/Board,Chemical Dipping,Film Face Color,Film Face GSM,Wire Mesh,Grade,Length (ft),Breadth (ft),Rate/SqFt
Commercial Plywood,MR (Moisture Resistant),White Recon,4.5,,,,False,,,,MR (Moisture Resistant),,,19.5
Commercial Plywood,MR (Moisture Resistant),White Recon,4.5,,,,True,,,,MR (Moisture Resistant),,,21.0
Commercial Plywood,MR (Moisture Resistant),White Recon,6,,,,False,,,,MR (Moisture Resistant),,,24
Commercial Plywood,MR (Moisture Resistant),White Recon,6,,,,True,,,,MR (Moisture Resistant),,,25.5
Commercial Plywood,MR (Moisture Resistant),White Recon,8,,,,False,,,,MR (Moisture Resistant),,,24.5
Commercial Plywood,MR (Moisture Resistant),White Recon,8,,,,True,,,,MR (Moisture Resistant),,,26.0
Commercial Plywood,MR (Moisture Resistant),White Recon,10,,,,False,,,,MR (Moisture Resistant),,,30
Commercial Plywood,MR (Moisture Resistant),White Recon,10,,,,True,,,,MR (Moisture Resistant),,,31.5
Commercial Plywood,MR (Moisture Resistant),White Recon,12,,,,False,,,,MR (Moisture Resistant),,,31.5
Commercial Plywood,MR (Moisture Resistant),White Recon,12,,,,True,,,,MR (Moisture Resistant),,,33.0
Commercial Plywood,MR (Moisture Resistant),White Recon,14,,,,False,,,,MR (Moisture Resistant),,,34.5
Commercial Plywood,MR (Moisture Resistant),White Recon,14,,,,True,,,,MR (Moisture Resistant),,,36.0
Commercial Plywood,MR (Moisture Resistant),White Recon,16,,,,False,,,,MR (Moisture Resistant),,,37.5
Commercial Plywood,MR (Moisture Resistant),White Recon,16,,,,True,,,,MR (Moisture Resistant),,,39.0
Commercial Plywood,MR (Moisture Resistant),White Recon,18,,,,False,,,,MR (Moisture Resistant),,,41
Commercial Plywood,MR (Moisture Resistant),White Recon,18,,,,True,,,,MR (Moisture Resistant),,,42.5
Commercial Plywood,MR (Moisture Resistant),White Recon,20,,,,False,,,,MR (Moisture Resistant),,,42
Commercial Plywood,MR (Moisture Resistant),White Recon,20,,,,True,,,,MR (Moisture Resistant),,,43.5
Commercial Plywood,MR (Moisture Resistant),White Recon,25,,,,False,,,,MR (Moisture Resistant),,,59.5
Commercial Plywood,MR (Moisture Resistant),White Recon,25,,,,True,,,,MR (Moisture Resistant),,,61.0
Commercial Plywood,MR (Moisture Resistant),Red Recon,4.5,,,,False,,,,MR (Moisture Resistant),,,19.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,4.5,,,,True,,,,MR (Moisture Resistant),,,21.0
Commercial Plywood,MR (Moisture Resistant),Red Recon,6,,,,False,,,,MR (Moisture Resistant),,,24
Commercial Plywood,MR (Moisture Resistant),Red Recon,6,,,,True,,,,MR (Moisture Resistant),,,25.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,8,,,,False,,,,MR (Moisture Resistant),,,24.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,8,,,,True,,,,MR (Moisture Resistant),,,26.0
Commercial Plywood,MR (Moisture Resistant),Red Recon,10,,,,False,,,,MR (Moisture Resistant),,,30
Commercial Plywood,MR (Moisture Resistant),Red Recon,10,,,,True,,,,MR (Moisture Resistant),,,31.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,12,,,,False,,,,MR (Moisture Resistant),,,31.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,12,,,,True,,,,MR (Moisture Resistant),,,33.0
Commercial Plywood,MR (Moisture Resistant),Red Recon,14,,,,False,,,,MR (Moisture Resistant),,,34.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,14,,,,True,,,,MR (Moisture Resistant),,,36.0
Commercial Plywood,MR (Moisture Resistant),Red Recon,16,,,,False,,,,MR (Moisture Resistant),,,37.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,16,,,,True,,,,MR (Moisture Resistant),,,39.0
Commercial Plywood,MR (Moisture Resistant),Red Recon,18,,,,False,,,,MR (Moisture Resistant),,,41
Commercial Plywood,MR (Moisture Resistant),Red Recon,18,,,,True,,,,MR (Moisture Resistant),,,42.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,20,,,,False,,,,MR (Moisture Resistant),,,42
Commercial Plywood,MR (Moisture Resistant),Red Recon,20,,,,True,,,,MR (Moisture Resistant),,,43.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,25,,,,False,,,,MR (Moisture Resistant),,,59.5
Commercial Plywood,MR (Moisture Resistant),Red Recon,25,,,,True,,,,MR (Moisture Resistant),,,61.0
Commercial Plywood,MR (Moisture Resistant),Okoume,4.5,,,,False,,,,MR (Moisture Resistant),,,19.5
Commercial Plywood,MR (Moisture Resistant),Okoume,4.5,,,,True,,,,MR (Moisture Resistant),,,21.0
Commercial Plywood,MR (Moisture Resistant),Okoume,6,,,,False,,,,MR (Moisture Resistant),,,24
Commercial Plywood,MR (Moisture Resistant),Okoume,6,,,,True,,,,MR (Moisture Resistant),,,25.5
Commercial Plywood,MR (Moisture Resistant),Okoume,8,,,,False,,,,MR (Moisture Resistant),,,24.5
Commercial Plywood,MR (Moisture Resistant),Okoume,8,,,,True,,,,MR (Moisture Resistant),,,26.0
Commercial Plywood,MR (Moisture Resistant),Okoume,10,,,,False,,,,MR (Moisture Resistant),,,30
Commercial Plywood,MR (Moisture Resistant),Okoume,10,,,,True,,,,MR (Moisture Resistant),,,31.5
Commercial Plywood,MR (Moisture Resistant),Okoume,12,,,,False,,,,MR (Moisture Resistant),,,31.5
Commercial Plywood,MR (Moisture Resistant),Okoume,12,,,,True,,,,MR (Moisture Resistant),,,33.0
Commercial Plywood,MR (Moisture Resistant),Okoume,14,,,,False,,,,MR (Moisture Resistant),,,34.5
Commercial Plywood,MR (Moisture Resistant),Okoume,14,,,,True,,,,MR (Moisture Resistant),,,36.0
Commercial Plywood,MR (Moisture Resistant),Okoume,16,,,,False,,,,MR (Moisture Resistant),,,37.5
Commercial Plywood,MR (Moisture Resistant),Okoume,16,,,,True,,,,MR (Moisture Resistant),,,39.0
Commercial Plywood,MR (Moisture Resistant),Okoume,18,,,,False,,,,MR (Moisture Resistant),,,41
Commercial Plywood,MR (Moisture Resistant),Okoume,18,,,,True,,,,MR (Moisture Resistant),,,42.5
Commercial Plywood,MR (Moisture Resistant),Okoume,20,,,,False,,,,MR (Moisture Resistant),,,42
Commercial Plywood,MR (Moisture Resistant),Okoume,20,,,,True,,,,MR (Moisture Resistant),,,43.5
Commercial Plywood,MR (Moisture Resistant),Okoume,25,,,,False,,,,MR (Moisture Resistant),,,59.5
Commercial Plywood,MR (Moisture Resistant),Okoume,25,,,,True,,,,MR (Moisture Resistant),,,61.0
Commercial Plywood,MR (Moisture Resistant),PLB,4.5,,,,False,,,,MR (Moisture Resistant),,,19.5
Commercial Plywood,MR (Moisture Resistant),PLB,4.5,,,,True,,,,MR (Moisture Resistant),,,21.0
Commercial Plywood,MR (Moisture Resistant),PLB,6,,,,False,,,,MR (Moisture Resistant),,,24
Commercial Plywood,MR (Moisture Resistant),PLB,6,,,,True,,,,MR (Moisture Resistant),,,25.5
Commercial Plywood,MR (Moisture Resistant),PLB,8,,,,False,,,,MR (Moisture Resistant),,,24.5
Commercial Plywood,MR (Moisture Resistant),PLB,8,,,,True,,,,MR (Moisture Resistant),,,26.0
Commercial Plywood,MR (Moisture Resistant),PLB,10,,,,False,,,,MR (Moisture Resistant),,,30
Commercial Plywood,MR (Moisture Resistant),PLB,10,,,,True,,,,MR (Moisture Resistant),,,31.5
